,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,mileage_power_ratio
0,0,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,4.78,12.5,1,0,0,0,1,0.15586370839936609
1,1,Honda Jazz V,Chennai,2011,46000,First,13.0,1199.0,88.7,5.0,8.61,4.5,0,0,1,0,1,0.14656144306651633
2,2,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,4.78,6.0,1,0,0,0,1,0.23400180261378997
3,3,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,4.78,17.74,1,0,0,1,0,0.10795454545454544
4,4,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,4.78,3.5,1,0,0,0,1,0.3657686212361331
5,5,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,21.0,17.5,1,0,0,1,0,0.06623906705539358
6,6,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,4.78,5.2,1,0,0,0,1,0.19826254826254827
7,7,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,74.0,5.0,4.78,1.95,1,0,0,0,1,0.3013513513513514
8,8,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,10.65,9.95,0,0,1,0,1,0.20881355932203388
9,9,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,4.78,4.49,0,0,1,1,0,0.14445399828030955
10,10,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,74.0,5.0,4.78,5.6,1,0,0,0,1,0.3405405405405405
11,11,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,4.78,27.0,1,0,0,1,0,0.06766116142781034
12,12,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179.0,115.0,5.0,4.78,17.5,1,0,0,1,0,0.0
